"date","home.team","home.score","away.team","away.score"
"17/08/2019","Villarreal",12,"Granada",14
"18/08/2019","Alaves",9,"Levante",16
"18/08/2019","Espanol",7,"Sevilla",12
"18/08/2019","Betis",13,"Valladolid",14
"18/08/2019","Ath Madrid",5,"Getafe",6
"23/08/2019","Granada",12,"Sevilla",11
"23/08/2019","Levante",16,"Villarreal",23
"24/08/2019","Osasuna",6,"Eibar",12
"24/08/2019","Real Madrid",22,"Valladolid",9
"24/08/2019","Celta",11,"Valencia",9
"24/08/2019","Getafe",6,"Ath Bilbao",4
"25/08/2019","Alaves",10,"Espanol",5
"25/08/2019","Mallorca",12,"Sociedad",12
"25/08/2019","Leganes",10,"Ath Madrid",6
"25/08/2019","Barcelona",20,"Betis",4
"30/08/2019","Sevilla",19,"Celta",2
"30/08/2019","Ath Bilbao",15,"Sociedad",2
"31/08/2019","Osasuna",15,"Barcelona",8
"31/08/2019","Getafe",15,"Alaves",5
"31/08/2019","Levante",16,"Valladolid",15
"31/08/2019","Betis",17,"Leganes",19
"01/09/2019","Valencia",9,"Mallorca",12
"01/09/2019","Ath Madrid",7,"Eibar",6
"01/09/2019","Espanol",15,"Granada",14
"01/09/2019","Villarreal",10,"Real Madrid",17
"13/09/2019","Mallorca",10,"Ath Bilbao",11
"14/09/2019","Real Madrid",25,"Levante",8
"14/09/2019","Leganes",10,"Villarreal",8
"14/09/2019","Sociedad",14,"Ath Madrid",12
"14/09/2019","Barcelona",17,"Valencia",9
"15/09/2019","Eibar",11,"Espanol",7
"15/09/2019","Alaves",7,"Sevilla",19
"15/09/2019","Celta",4,"Granada",13
"15/09/2019","Valladolid",11,"Osasuna",17
"15/09/2019","Betis",7,"Getafe",12
"20/09/2019","Osasuna",12,"Betis",7
"21/09/2019","Villarreal",18,"Valladolid",7
"21/09/2019","Levante",13,"Eibar",18
"21/09/2019","Ath Madrid",20,"Celta",6
"21/09/2019","Granada",9,"Barcelona",8
"22/09/2019","Getafe",14,"Mallorca",7
"22/09/2019","Espanol",17,"Sociedad",10
"22/09/2019","Valencia",13,"Leganes",13
"22/09/2019","Ath Bilbao",13,"Alaves",5
"22/09/2019","Sevilla",9,"Real Madrid",7
"24/09/2019","Valladolid",9,"Granada",6
"24/09/2019","Betis",17,"Levante",17
"24/09/2019","Barcelona",8,"Villarreal",11
"25/09/2019","Leganes",7,"Ath Bilbao",9
"25/09/2019","Mallorca",9,"Ath Madrid",13
"25/09/2019","Valencia",8,"Getafe",18
"25/09/2019","Real Madrid",15,"Osasuna",4
"26/09/2019","Eibar",11,"Sevilla",7
"26/09/2019","Celta",14,"Espanol",10
"26/09/2019","Sociedad",21,"Alaves",5
"27/09/2019","Villarreal",17,"Betis",11
"28/09/2019","Ath Bilbao",14,"Valencia",10
"28/09/2019","Getafe",8,"Barcelona",10
"28/09/2019","Granada",11,"Leganes",15
"28/09/2019","Ath Madrid",7,"Real Madrid",14
"29/09/2019","Espanol",16,"Valladolid",9
"29/09/2019","Eibar",7,"Celta",3
"29/09/2019","Alaves",11,"Mallorca",5
"29/09/2019","Levante",10,"Osasuna",18
"29/09/2019","Sevilla",21,"Sociedad",5
"04/10/2019","Betis",12,"Eibar",8
"05/10/2019","Leganes",25,"Levante",9
"05/10/2019","Real Madrid",17,"Granada",8
"05/10/2019","Valencia",11,"Alaves",10
"05/10/2019","Osasuna",16,"Villarreal",16
"06/10/2019","Mallorca",9,"Espanol",11
"06/10/2019","Celta",13,"Ath Bilbao",6
"06/10/2019","Valladolid",5,"Ath Madrid",9
"06/10/2019","Sociedad",6,"Getafe",13
"06/10/2019","Barcelona",15,"Sevilla",16
"18/10/2019","Granada",6,"Osasuna",9
"19/10/2019","Eibar",5,"Barcelona",9
"19/10/2019","Ath Madrid",15,"Valencia",11
"19/10/2019","Getafe",5,"Leganes",7
"19/10/2019","Mallorca",5,"Real Madrid",13
"20/10/2019","Alaves",12,"Celta",14
"20/10/2019","Sociedad",18,"Betis",12
"20/10/2019","Espanol",18,"Villarreal",11
"20/10/2019","Ath Bilbao",19,"Valladolid",9
"20/10/2019","Sevilla",19,"Levante",12
"25/10/2019","Villarreal",19,"Alaves",12
"26/10/2019","Leganes",9,"Mallorca",9
"26/10/2019","Valladolid",8,"Eibar",13
"26/10/2019","Ath Madrid",9,"Ath Bilbao",9
"27/10/2019","Celta",9,"Sociedad",9
"27/10/2019","Granada",13,"Betis",12
"27/10/2019","Levante",7,"Espanol",14
"27/10/2019","Sevilla",15,"Getafe",9
"27/10/2019","Osasuna",21,"Valencia",2
"29/10/2019","Alaves",11,"Ath Madrid",9
"29/10/2019","Barcelona",18,"Valladolid",9
"30/10/2019","Sociedad",17,"Levante",13
"30/10/2019","Valencia",10,"Sevilla",10
"30/10/2019","Ath Bilbao",7,"Espanol",12
"30/10/2019","Betis",11,"Celta",18
"30/10/2019","Real Madrid",22,"Leganes",5
"31/10/2019","Eibar",25,"Villarreal",9
"31/10/2019","Mallorca",11,"Osasuna",12
"31/10/2019","Getafe",8,"Granada",10
"02/11/2019","Espanol",13,"Valencia",11
"02/11/2019","Levante",9,"Barcelona",9
"02/11/2019","Sevilla",11,"Ath Madrid",14
"02/11/2019","Real Madrid",22,"Betis",13
"03/11/2019","Valladolid",12,"Mallorca",14
"03/11/2019","Villarreal",11,"Ath Bilbao",12
"03/11/2019","Osasuna",19,"Alaves",11
"03/11/2019","Celta",6,"Getafe",9
"03/11/2019","Leganes",12,"Eibar",7
"03/11/2019","Granada",5,"Sociedad",9
"08/11/2019","Sociedad",11,"Leganes",6
"09/11/2019","Alaves",14,"Valladolid",7
"09/11/2019","Valencia",12,"Granada",13
"09/11/2019","Eibar",14,"Real Madrid",10
"09/11/2019","Barcelona",10,"Celta",6
"10/11/2019","Mallorca",5,"Villarreal",22
"10/11/2019","Ath Bilbao",23,"Levante",8
"10/11/2019","Ath Madrid",18,"Espanol",10
"10/11/2019","Getafe",14,"Osasuna",4
"10/11/2019","Betis",18,"Sevilla",10
"22/11/2019","Levante",13,"Mallorca",14
"23/11/2019","Leganes",9,"Barcelona",11
"23/11/2019","Betis",25,"Valencia",9
"23/11/2019","Granada",9,"Ath Madrid",17
"23/11/2019","Real Madrid",18,"Sociedad",11
"24/11/2019","Espanol",6,"Getafe",11
"24/11/2019","Osasuna",12,"Ath Bilbao",6
"24/11/2019","Eibar",18,"Alaves",7
"24/11/2019","Villarreal",15,"Celta",11
"24/11/2019","Valladolid",7,"Sevilla",4
"29/11/2019","Celta",13,"Valladolid",9
"30/11/2019","Alaves",8,"Real Madrid",12
"30/11/2019","Sociedad",15,"Eibar",10
"30/11/2019","Mallorca",16,"Betis",15
"30/11/2019","Valencia",13,"Villarreal",24
"01/12/2019","Sevilla",16,"Leganes",8
"01/12/2019","Ath Bilbao",14,"Granada",8
"01/12/2019","Espanol",12,"Osasuna",14
"01/12/2019","Getafe",13,"Levante",7
"01/12/2019","Ath Madrid",17,"Barcelona",13
"06/12/2019","Villarreal",23,"Ath Madrid",18
"07/12/2019","Real Madrid",18,"Espanol",6
"07/12/2019","Granada",13,"Alaves",5
"07/12/2019","Levante",17,"Valencia",10
"07/12/2019","Barcelona",25,"Mallorca",9
"08/12/2019","Eibar",6,"Getafe",6
"08/12/2019","Betis",10,"Ath Bilbao",8
"08/12/2019","Valladolid",4,"Sociedad",16
"08/12/2019","Leganes",15,"Celta",9
"08/12/2019","Osasuna",10,"Sevilla",13
"13/12/2019","Alaves",10,"Leganes",3
"14/12/2019","Granada",18,"Levante",13
"14/12/2019","Sociedad",19,"Barcelona",9
"14/12/2019","Ath Bilbao",8,"Eibar",8
"14/12/2019","Ath Madrid",19,"Osasuna",15
"15/12/2019","Getafe",7,"Valladolid",10
"15/12/2019","Celta",18,"Mallorca",8
"15/12/2019","Espanol",16,"Betis",10
"15/12/2019","Sevilla",24,"Villarreal",9
"15/12/2019","Valencia",9,"Real Madrid",19
"18/12/2019","Barcelona",9,"Real Madrid",17
"20/12/2019","Eibar",21,"Granada",12
"21/12/2019","Mallorca",8,"Sevilla",13
"21/12/2019","Barcelona",8,"Alaves",5
"21/12/2019","Villarreal",11,"Getafe",7
"21/12/2019","Valladolid",14,"Valencia",5
"22/12/2019","Leganes",11,"Espanol",9
"22/12/2019","Osasuna",19,"Sociedad",13
"22/12/2019","Betis",15,"Ath Madrid",8
"22/12/2019","Levante",13,"Celta",12
"22/12/2019","Real Madrid",20,"Ath Bilbao",8
"03/01/2020","Valladolid",14,"Leganes",12
"03/01/2020","Sevilla",9,"Ath Bilbao",6
"04/01/2020","Valencia",9,"Eibar",10
"04/01/2020","Getafe",15,"Real Madrid",10
"04/01/2020","Ath Madrid",17,"Levante",6
"04/01/2020","Espanol",8,"Barcelona",14
"05/01/2020","Granada",7,"Mallorca",17
"05/01/2020","Sociedad",10,"Villarreal",14
"05/01/2020","Alaves",6,"Betis",10
"05/01/2020","Celta",20,"Osasuna",8
"17/01/2020","Leganes",8,"Getafe",8
"18/01/2020","Levante",20,"Alaves",14
"18/01/2020","Real Madrid",13,"Sevilla",8
"18/01/2020","Osasuna",21,"Valladolid",5
"18/01/2020","Eibar",9,"Ath Madrid",12
"19/01/2020","Mallorca",13,"Valencia",8
"19/01/2020","Betis",14,"Sociedad",7
"19/01/2020","Villarreal",21,"Espanol",16
"19/01/2020","Ath Bilbao",22,"Celta",7
"19/01/2020","Barcelona",18,"Granada",5
"24/01/2020","Osasuna",15,"Levante",6
"25/01/2020","Espanol",9,"Ath Bilbao",11
"25/01/2020","Valencia",8,"Barcelona",14
"25/01/2020","Alaves",12,"Villarreal",11
"25/01/2020","Sevilla",12,"Granada",8
"26/01/2020","Ath Madrid",14,"Leganes",10
"26/01/2020","Celta",18,"Eibar",5
"26/01/2020","Getafe",7,"Betis",8
"26/01/2020","Sociedad",14,"Mallorca",8
"26/01/2020","Valladolid",4,"Real Madrid",12
"01/02/2020","Granada",8,"Espanol",22
"01/02/2020","Real Madrid",16,"Ath Madrid",4
"01/02/2020","Mallorca",16,"Valladolid",15
"01/02/2020","Valencia",9,"Celta",11
"02/02/2020","Leganes",12,"Sociedad",2
"02/02/2020","Eibar",8,"Betis",14
"02/02/2020","Ath Bilbao",8,"Getafe",9
"02/02/2020","Sevilla",14,"Alaves",4
"02/02/2020","Villarreal",9,"Osasuna",17
"02/02/2020","Barcelona",23,"Levante",10
"07/02/2020","Alaves",9,"Eibar",5
"08/02/2020","Levante",9,"Leganes",12
"08/02/2020","Getafe",22,"Valencia",5
"08/02/2020","Valladolid",8,"Villarreal",8
"08/02/2020","Ath Madrid",6,"Granada",10
"09/02/2020","Espanol",12,"Mallorca",7
"09/02/2020","Sociedad",14,"Ath Bilbao",6
"09/02/2020","Osasuna",14,"Real Madrid",17
"09/02/2020","Celta",13,"Sevilla",12
"09/02/2020","Betis",7,"Barcelona",10
"14/02/2020","Valencia",9,"Ath Madrid",8
"15/02/2020","Mallorca",14,"Alaves",10
"15/02/2020","Barcelona",12,"Getafe",7
"15/02/2020","Villarreal",14,"Levante",11
"15/02/2020","Granada",11,"Valladolid",6
"16/02/2020","Sevilla",18,"Espanol",5
"16/02/2020","Leganes",11,"Betis",3
"16/02/2020","Ath Bilbao",12,"Osasuna",6
"16/02/2020","Real Madrid",15,"Celta",5
"21/02/2020","Betis",19,"Mallorca",11
"22/02/2020","Celta",3,"Leganes",11
"22/02/2020","Barcelona",13,"Eibar",12
"22/02/2020","Sociedad",19,"Valencia",6
"22/02/2020","Levante",8,"Real Madrid",19
"23/02/2020","Osasuna",14,"Granada",10
"23/02/2020","Alaves",4,"Ath Bilbao",13
"23/02/2020","Valladolid",21,"Espanol",6
"23/02/2020","Getafe",10,"Sevilla",8
"23/02/2020","Ath Madrid",16,"Villarreal",10
"28/02/2020","Sociedad",13,"Valladolid",6
"29/02/2020","Eibar",13,"Levante",11
"29/02/2020","Valencia",10,"Betis",14
"29/02/2020","Leganes",19,"Alaves",8
"29/02/2020","Granada",14,"Celta",6
"01/03/2020","Sevilla",12,"Osasuna",14
"01/03/2020","Ath Bilbao",18,"Villarreal",10
"01/03/2020","Espanol",9,"Ath Madrid",5
"01/03/2020","Mallorca",4,"Getafe",9
"01/03/2020","Real Madrid",13,"Barcelona",9
"06/03/2020","Alaves",13,"Valencia",6
"07/03/2020","Eibar",13,"Mallorca",10
"07/03/2020","Ath Madrid",21,"Sevilla",12
"07/03/2020","Barcelona",13,"Sociedad",9
"07/03/2020","Getafe",19,"Celta",3
"08/03/2020","Osasuna",17,"Espanol",8
"08/03/2020","Valladolid",19,"Ath Bilbao",10
"08/03/2020","Levante",11,"Granada",10
"08/03/2020","Villarreal",15,"Leganes",12
"08/03/2020","Betis",14,"Real Madrid",13
"10/03/2020","Eibar",13,"Sociedad",6
"11/06/2020","Sevilla",13,"Betis",12
"12/06/2020","Granada",10,"Getafe",6
"12/06/2020","Valencia",12,"Levante",14
"13/06/2020","Espanol",19,"Alaves",1
"13/06/2020","Celta",4,"Villarreal",15
"13/06/2020","Leganes",11,"Valladolid",6
"13/06/2020","Mallorca",13,"Barcelona",12
"14/06/2020","Ath Bilbao",10,"Ath Madrid",9
"14/06/2020","Real Madrid",6,"Eibar",9
"14/06/2020","Sociedad",9,"Osasuna",8
"15/06/2020","Levante",11,"Sevilla",10
"15/06/2020","Betis",18,"Granada",8
"16/06/2020","Getafe",21,"Espanol",5
"16/06/2020","Villarreal",10,"Mallorca",15
"16/06/2020","Barcelona",10,"Leganes",6
"17/06/2020","Eibar",12,"Ath Bilbao",6
"17/06/2020","Valladolid",6,"Celta",11
"17/06/2020","Osasuna",13,"Ath Madrid",10
"18/06/2020","Alaves",15,"Sociedad",9
"18/06/2020","Real Madrid",19,"Valencia",4
"19/06/2020","Granada",14,"Villarreal",5
"19/06/2020","Mallorca",7,"Leganes",16
"19/06/2020","Sevilla",8,"Barcelona",10
"20/06/2020","Espanol",10,"Levante",14
"20/06/2020","Ath Bilbao",12,"Betis",9
"20/06/2020","Getafe",9,"Eibar",8
"20/06/2020","Ath Madrid",15,"Valladolid",6
"21/06/2020","Celta",15,"Alaves",4
"21/06/2020","Valencia",7,"Osasuna",13
"21/06/2020","Sociedad",10,"Real Madrid",10
"22/06/2020","Villarreal",7,"Sevilla",14
"22/06/2020","Leganes",9,"Granada",4
"23/06/2020","Levante",12,"Ath Madrid",12
"23/06/2020","Valladolid",6,"Getafe",15
"23/06/2020","Barcelona",18,"Ath Bilbao",6
"24/06/2020","Alaves",5,"Osasuna",7
"24/06/2020","Sociedad",13,"Celta",4
"24/06/2020","Real Madrid",14,"Mallorca",11
"25/06/2020","Eibar",14,"Valencia",7
"25/06/2020","Betis",13,"Espanol",9
"26/06/2020","Sevilla",15,"Valladolid",11
"27/06/2020","Ath Bilbao",12,"Mallorca",14
"27/06/2020","Celta",10,"Barcelona",18
"27/06/2020","Osasuna",6,"Leganes",21
"27/06/2020","Ath Madrid",14,"Alaves",6
"28/06/2020","Levante",9,"Betis",17
"28/06/2020","Villarreal",17,"Valencia",4
"28/06/2020","Granada",14,"Eibar",13
"28/06/2020","Espanol",8,"Real Madrid",14
"29/06/2020","Getafe",11,"Sociedad",5
"30/06/2020","Mallorca",9,"Celta",12
"30/06/2020","Leganes",9,"Sevilla",11
"30/06/2020","Barcelona",12,"Ath Madrid",10
"01/07/2020","Alaves",11,"Granada",7
"01/07/2020","Valencia",10,"Ath Bilbao",12
"01/07/2020","Betis",9,"Villarreal",15
"01/07/2020","Valladolid",15,"Levante",8
"02/07/2020","Eibar",11,"Osasuna",9
"02/07/2020","Sociedad",12,"Espanol",4
"02/07/2020","Real Madrid",8,"Getafe",10
"03/07/2020","Ath Madrid",15,"Mallorca",13
"04/07/2020","Celta",5,"Betis",10
"04/07/2020","Valladolid",5,"Alaves",7
"04/07/2020","Granada",17,"Valencia",4
"05/07/2020","Ath Bilbao",7,"Real Madrid",10
"05/07/2020","Espanol",7,"Leganes",4
"05/07/2020","Osasuna",6,"Getafe",6
"05/07/2020","Villarreal",11,"Barcelona",18
"06/07/2020","Levante",9,"Sociedad",8
"06/07/2020","Sevilla",8,"Eibar",19
"07/07/2020","Valencia",10,"Valladolid",11
"07/07/2020","Celta",9,"Ath Madrid",10
"08/07/2020","Betis",14,"Osasuna",8
"08/07/2020","Getafe",5,"Villarreal",6
"08/07/2020","Barcelona",9,"Espanol",11
"09/07/2020","Eibar",4,"Leganes",10
"09/07/2020","Mallorca",15,"Levante",14
"09/07/2020","Ath Bilbao",13,"Sevilla",20
"10/07/2020","Sociedad",19,"Granada",4
"10/07/2020","Real Madrid",18,"Alaves",10
"11/07/2020","Osasuna",15,"Celta",12
"11/07/2020","Valladolid",13,"Barcelona",9
"11/07/2020","Ath Madrid",9,"Betis",21
"12/07/2020","Espanol",14,"Eibar",11
"12/07/2020","Levante",5,"Ath Bilbao",12
"12/07/2020","Leganes",10,"Valencia",16
"12/07/2020","Sevilla",14,"Mallorca",14
"13/07/2020","Alaves",3,"Getafe",14
"13/07/2020","Villarreal",9,"Sociedad",11
"13/07/2020","Granada",13,"Real Madrid",11
"16/07/2020","Eibar",13,"Valladolid",17
"16/07/2020","Ath Bilbao",10,"Leganes",16
"16/07/2020","Barcelona",19,"Osasuna",9
"16/07/2020","Betis",14,"Alaves",9
"16/07/2020","Celta",16,"Levante",8
"16/07/2020","Getafe",15,"Ath Madrid",11
"16/07/2020","Mallorca",18,"Granada",14
"16/07/2020","Real Madrid",12,"Villarreal",8
"16/07/2020","Sociedad",11,"Sevilla",8
"16/07/2020","Valencia",9,"Espanol",18
"19/07/2020","Alaves",8,"Barcelona",16
"19/07/2020","Valladolid",13,"Betis",10
"19/07/2020","Villarreal",12,"Eibar",11
"19/07/2020","Ath Madrid",6,"Sociedad",10
"19/07/2020","Espanol",8,"Celta",9
"19/07/2020","Granada",11,"Ath Bilbao",11
"19/07/2020","Leganes",15,"Real Madrid",7
"19/07/2020","Levante",13,"Getafe",13
"19/07/2020","Osasuna",12,"Mallorca",12
"19/07/2020","Sevilla",16,"Valencia",8
